                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.59821,                0.55731,                0.99539,                0.87652,                 0.7992,                0.90001,                0.74387,                0.91708,                0.80138,                 1.1855,             0.00099441,             0.00099441,             0.00099441
                    109,                0.59363,                0.52413,                0.99409,                0.80145,                0.82299,                 0.8648,                 0.7109,                 0.9212,                0.93064,                 1.2101,             0.00099331,             0.00099331,             0.00099331
                    110,                0.57649,                0.51977,                  1.012,                0.91251,                0.77385,                0.88485,                0.72183,                 0.9373,                0.92552,                 1.2086,             0.00099221,             0.00099221,             0.00099221
                    111,                0.68001,                0.57785,                 1.0818,                0.83711,                0.84743,                0.90012,                0.73566,                0.91942,                0.85799,                 1.1971,             0.00099111,             0.00099111,             0.00099111
                    112,                0.57207,                 0.5053,                0.98512,                0.84944,                0.88115,                0.91911,                0.75562,                0.90966,                0.86525,                 1.1898,             0.00099001,             0.00099001,             0.00099001
                    113,                0.57511,                0.49939,                0.98813,                0.84349,                0.86179,                0.89449,                0.73809,                0.91722,                0.79402,                 1.1894,             0.00098891,             0.00098891,             0.00098891
                    114,                0.56539,                0.50524,                0.96588,                0.91585,                0.81064,                0.88916,                0.72949,                0.91803,                0.83957,                 1.1739,             0.00098781,             0.00098781,             0.00098781
                    115,                0.57812,                0.54174,                  1.002,                0.85239,                0.81514,                 0.9038,                0.74683,                0.89725,                0.84897,                 1.1635,             0.00098671,             0.00098671,             0.00098671
                    116,                0.53632,                0.50581,                0.96951,                 0.7431,                0.73956,                0.83601,                0.68367,                0.93812,                  1.013,                 1.2038,             0.00098561,             0.00098561,             0.00098561
                    117,                0.57481,                0.50573,                  1.006,                0.91013,                 0.8242,                  0.898,                0.72633,                0.91076,                0.86164,                 1.1827,             0.00098451,             0.00098451,             0.00098451
                    118,                 0.5615,                0.50111,                0.98611,                0.91396,                0.84159,                0.91251,                0.75244,                0.89081,                0.75521,                 1.1685,             0.00098341,             0.00098341,             0.00098341
                    119,                0.54964,                0.51382,                0.98302,                0.86338,                0.83224,                0.89578,                 0.7379,                0.90636,                0.86558,                 1.1919,             0.00098231,             0.00098231,             0.00098231
                    120,                0.55394,                0.48406,                0.99287,                0.86294,                0.83373,                 0.9004,                0.73786,                0.92652,                0.83586,                 1.1963,             0.00098121,             0.00098121,             0.00098121
                    121,                0.53758,                0.51145,                0.98183,                0.89741,                0.82527,                0.90728,                0.74049,                0.92773,                0.76876,                 1.2129,             0.00098011,             0.00098011,             0.00098011
                    122,                0.58067,                0.47361,                0.98444,                  0.891,                0.84155,                0.90126,                0.74561,                0.92183,                0.84489,                 1.1868,             0.00097901,             0.00097901,             0.00097901
                    123,                0.55362,                 0.4869,                0.97475,                0.89648,                 0.8377,                0.91304,                 0.7608,                0.93607,                0.76912,                 1.2073,             0.00097791,             0.00097791,             0.00097791
                    124,                0.59702,                0.50339,                 1.0013,                0.89457,                0.82197,                0.90405,                0.75121,                0.91581,                0.76238,                 1.1739,             0.00097681,             0.00097681,             0.00097681
                    125,                0.56992,                0.47923,                 0.9872,                0.90439,                0.81125,                0.89923,                0.74781,                0.90844,                0.82106,                 1.1845,             0.00097571,             0.00097571,             0.00097571
                    126,                0.57643,                0.55494,                 1.0044,                0.90659,                0.82978,                0.90583,                0.74339,                0.94205,                0.87492,                 1.2095,             0.00097461,             0.00097461,             0.00097461
                    127,                0.61188,                0.70161,                 1.0002,                0.89279,                0.79625,                0.90336,                 0.7337,                0.91936,                0.81767,                 1.1785,             0.00097351,             0.00097351,             0.00097351
                    128,                0.53271,                 0.4845,                0.96014,                0.83336,                0.84196,                0.89052,                0.73146,                  0.895,                0.84304,                 1.1709,             0.00097241,             0.00097241,             0.00097241
                    129,                0.55744,                0.49244,                0.98418,                0.91468,                0.83498,                0.90539,                0.75809,                 0.8934,                0.78633,                 1.1825,             0.00097131,             0.00097131,             0.00097131
                    130,                 0.5572,                0.57117,                0.99555,                0.92536,                0.83808,                0.90652,                0.74548,                0.91704,                0.86946,                 1.1958,             0.00097021,             0.00097021,             0.00097021
                    131,                0.53914,                0.52277,                0.97732,                0.85862,                0.82587,                0.86781,                0.70696,                0.89137,                0.88682,                 1.1837,             0.00096911,             0.00096911,             0.00096911
                    132,                0.54492,                0.53398,                0.98352,                0.86951,                 0.8261,                0.87772,                0.71013,                0.94951,                0.87131,                  1.229,             0.00096801,             0.00096801,             0.00096801
                    133,                0.54162,                0.49836,                0.97256,                0.86173,                0.86314,                0.92222,                0.76992,                 0.8821,                0.78801,                 1.1637,             0.00096691,             0.00096691,             0.00096691
                    134,                0.55193,                0.51344,                0.99286,                0.93037,                0.82891,                0.91302,                0.75681,                0.90548,                0.80641,                 1.1827,             0.00096581,             0.00096581,             0.00096581
                    135,                0.52448,                0.46224,                 0.9648,                0.94107,                 0.8626,                0.93298,                0.76853,                 0.8837,                0.75378,                 1.1593,             0.00096471,             0.00096471,             0.00096471
                    136,                0.51257,                0.46193,                0.97339,                 0.8959,                0.82451,                0.89043,                0.75345,                0.87275,                0.79441,                 1.1578,             0.00096361,             0.00096361,             0.00096361
                    137,                0.53532,                0.46646,                 0.9688,                0.90528,                0.76564,                0.87007,                0.73755,                0.92389,                0.86979,                   1.19,             0.00096251,             0.00096251,             0.00096251
                    138,                0.54638,                0.46267,                0.97586,                0.91309,                0.81782,                0.91912,                0.78962,                0.85199,                0.79294,                 1.1497,             0.00096141,             0.00096141,             0.00096141
                    139,                0.54392,                0.47065,                0.95341,                0.89936,                0.84201,                0.92374,                0.77774,                0.88435,                0.77141,                 1.1823,             0.00096032,             0.00096032,             0.00096032
